Directors Guild Nominations and Winners for best Director from 1948,,,
Year,d nominees,Film,Ref.
1981,Steven Spielberg,Raiders of the Lost Ark,Nominee
1982,Richard Attenborough,Gandhi,Winner
1982,Steven Spielberg,E.T. the Extra-Terrestrial,Nominee
1982,Sydney Pollack,Tootsie,Nominee
1982,Taylor Hackford,An Officer and a Gentleman,Nominee
1982,Wolfgang Petersen,Das Boot,Nominee
1983,James L. Brooks,Terms of Endearment,Winner
1983,Bruce Beresford,Tender Mercies,Nominee
1983,Ingmar Bergman,Fanny and Alexander,Nominee
1983,Lawrence Kasdan,The Big Chill,Nominee
1983,Philip Kaufman,The Right Stuff,Nominee
1984,Miloš Forman,Amadeus,Winner
1984,David Lean,A Passage to India,Nominee
1984,Norman Jewison,A Soldier's Story,Nominee
1984,Robert Benton,Places in the Heart,Nominee
1984,Roland Joffé,The Killing Fields,Nominee
1985,Steven Spielberg,The Color Purple,Winner
1985,John Huston,Prizzi's Honor,Nominee
1985,Peter Weir,Witness,Nominee
1985,Ron Howard,Cocoon,Nominee
1985,Sydney Pollack,Out of Africa,Nominee
1986,Oliver Stone,Platoon,Winner
1986,James Ivory,A Room with a View,Nominee
1986,Randa Haines,Children of a Lesser God,Nominee
1986,Rob Reiner,Stand by Me,Nominee
1986,Woody Allen,Hannah and Her Sisters,Nominee
1987,Bernardo Bertolucci,The Last Emperor,Winner
1987,Adrian Lyne,Fatal Attraction,Nominee
1987,James L. Brooks,Broadcast News,Nominee
1987,Lasse Hallström,My Life as a Dog,Nominee
1987,Steven Spielberg,Empire of the Sun,Nominee
1988,Barry Levinson,Rain Man,Winner
1988,Alan Parker,Mississippi Burning,Nominee
1988,Charles Crichton,A Fish Called Wanda,Nominee
1988,Mike Nichols,Working Girl,Nominee
1988,Robert Zemeckis,Who Framed Roger Rabbit,Nominee
1989,Oliver Stone,Born on the Fourth of July,Winner
1989,Peter Weir,Dead Poets Society,Nominee
1989,Phil Alden Robinson,Field of Dreams,Nominee
1989,Rob Reiner,When Harry Met Sally...,Nominee
1989,Woody Allen,Crimes and Misdemeanors,Nominee
1990,Kevin Costner,Dances with Wolves,Winner
1990,Barry Levinson,Avalon,Nominee
1990,Francis Ford Coppola,The Godfather Part III,Nominee
1990,Giuseppe Tornatore,Cinema Paradiso,Nominee
1990,Martin Scorsese,Goodfellas,Nominee
1991,Jonathan Demme,The Silence of the Lambs,Winner
1991,Barbra Streisand,The Prince of Tides,Nominee
1991,Barry Levinson,Bugsy,Nominee
1991,Oliver Stone,JFK,Nominee
1991,Ridley Scott,Thelma and Louise,Nominee
1992,Clint Eastwood,Unforgiven,Winner
1992,James Ivory,Howards End,Nominee
1992,Neil Jordan,The Crying Game,Nominee
1992,Rob Reiner,A Few Good Men,Nominee
1992,Robert Altman,The Player,Nominee
1993,Steven Spielberg,Schindler's List,Winner
1993,Andrew Davis,The Fugitive,Nominee
1993,James Ivory,The Remains of the Day,Nominee
1993,Jane Campion,The Piano,Nominee
1993,Martin Scorsese,The Age of Innocence,Nominee
1994,Robert Zemeckis,Forrest Gump,Winner
1994,Frank Darabont,The Shawshank Redemption,Nominee
1994,Mike Newell,Four Weddings and a Funeral,Nominee
1994,Quentin Tarantino,Pulp Fiction,Nominee
1994,Robert Redford,Quiz Show,Nominee
1995,Ron Howard,Apollo 13,Winner
1995,Ang Lee,Sense and Sensibility,Nominee
1995,Mel Gibson,Braveheart,Nominee
1995,Michael Radford,Il Postino: The Postman,Nominee
1995,Mike Figgis,Leaving Las Vegas,Nominee
1996,Anthony Minghella,The English Patient,Winner
1996,Cameron Crowe,Jerry Maguire,Nominee
1996,Joel Coen,Fargo,Nominee
1996,Mike Leigh,Secrets and Lies,Nominee
1996,Scott Hicks,Shine,Nominee
